# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.585669131369340E+00 -1.177662401225242E+00  4.657905966244209E+00  1.637419827478152E+01  5.458066091593563E+00  5.458066091593563E+00  1.637419827478069E+01  8.277822871605167E-13  3.000000000000152E+00  2.378965320391447E+03 -2.212708040819527E+02  2.157694516309494E+03  1.935347952362389E+21 -1.800093485713875E+20
  0.000000000000000E+00  1.585789992180094E+00 -1.177229593481736E+00  4.657989402624949E+00  1.655815917461997E+01  5.519386391539772E+00  5.519386391539772E+00  1.655815917461932E+01  6.465938895416912E-13  3.000000000000117E+00  2.400705160644819E+03 -2.155391172239940E+02  2.185166043420825E+03  1.955045980872259E+21 -1.755271291774708E+20
  0.000000000000000E+00  1.585910852990849E+00 -1.176796785738230E+00  4.658072901932529E+00  1.673728305089784E+01  5.579094350299123E+00  5.579094350299123E+00  1.673728305089737E+01  4.618527782440651E-13  3.000000000000083E+00  2.421656520236694E+03 -2.098178909615361E+02  2.211838629275157E+03  1.974212588201676E+21 -1.710503195249608E+20
  0.000000000000000E+00  1.586031713801864E+00 -1.176363977994797E+00  4.658156464237226E+00  1.691157945150251E+01  5.637193150500708E+00  5.637193150500708E+00  1.691157945150213E+01  3.801403636316536E-13  3.000000000000068E+00  2.441821748240998E+03 -2.041071278864754E+02  2.237714620354523E+03  1.992850414155731E+21 -1.665784878170206E+20
  0.000000000000000E+00  1.586150847753042E+00 -1.175937354207147E+00  4.658238894324665E+00  1.707866113688588E+01  5.692887045628469E+00  5.692887045628470E+00  1.707866113688541E+01  4.654054919228656E-13  3.000000000000082E+00  2.460947200341342E+03 -1.984563084597953E+02  2.262490891881547E+03  2.010719706587885E+21 -1.621489523470662E+20
  0.000000000000000E+00  1.586269981702941E+00 -1.175510730419140E+00  4.658321385755984E+00  1.724101981272823E+01  5.747006604242525E+00  5.747006604242525E+00  1.724101981272758E+01  6.465938895416912E-13  3.000000000000113E+00  2.479339576761107E+03 -1.927567475471624E+02  2.286582829213944E+03  2.028101858130058E+21 -1.576751815409648E+20
  0.000000000000000E+00  1.586389115652840E+00 -1.175084106631133E+00  4.658403938599682E+00  1.739861573109407E+01  5.799538577031078E+00  5.799538577031078E+00  1.739861573109324E+01  8.313350008393172E-13  3.000000000000143E+00  2.496994215395594E+03 -1.870084343586248E+02  2.309985781036970E+03  2.044993464254970E+21 -1.531565526527879E+20
  0.000000000000000E+00  1.586508249604018E+00 -1.174657482843482E+00  4.658486552924353E+00  1.755140914404792E+01  5.850469714682333E+00  5.850469714682333E+00  1.755140914404700E+01  9.166001291305292E-13  3.000000000000157E+00  2.513906510957276E+03 -1.812113581041468E+02  2.332695152853129E+03  2.061391032062074E+21 -1.485924265184520E+20
  0.000000000000000E+00  1.586625434722985E+00 -1.174237837916540E+00  4.658567875862336E+00  1.769697268106349E+01  5.898990893687394E+00  5.898990893687394E+00  1.769697268106219E+01  1.303845920119784E-12  3.000000000000221E+00  2.529828835342451E+03 -1.754338319108231E+02  2.354395003431628E+03  2.077047707240957E+21 -1.440352142612628E+20
  0.000000000000000E+00  1.586742619843491E+00 -1.173818192990028E+00  4.658649258416343E+00  1.783776216734708E+01  5.945920722448306E+00  5.945920722448306E+00  1.783776216734492E+01  2.160049916710705E-12  3.000000000000363E+00  2.545049349360777E+03 -1.695392893980900E+02  2.375510059962687E+03  2.092240622300464E+21 -1.393752889089283E+20
  0.000000000000000E+00  1.586859804963996E+00 -1.173398548063515E+00  4.658730700649527E+00  1.797368279723605E+01  5.991227599077678E+00  5.991227599077678E+00  1.797368279723304E+01  3.012701199622825E-12  3.000000000000503E+00  2.559555578580099E+03 -1.635277048293939E+02  2.396027873750705E+03  2.106959613056520E+21 -1.346117554839328E+20
  0.000000000000000E+00  1.586976990082964E+00 -1.172978903136573E+00  4.658812202625135E+00  1.810463976506776E+01  6.034879921688120E+00  6.034879921688120E+00  1.810463976506436E+01  3.399946990612079E-12  3.000000000000564E+00  2.573335161195540E+03 -1.573990524681971E+02  2.415936108727343E+03  2.121194438279814E+21 -1.297436881602855E+20
  0.000000000000000E+00  1.587092050159661E+00 -1.172566868071600E+00  4.658892284829619E+00  1.822828992950335E+01  6.076096643167014E+00  6.076096643167014E+00  1.822828992950105E+01  2.302158463862725E-12  3.000000000000379E+00  2.586160814762429E+03 -1.512276781638421E+02  2.434933136598587E+03  2.134702506318513E+21 -1.248283176198146E+20
  0.000000000000000E+00  1.587207110236202E+00 -1.172154833006583E+00  4.658972424754250E+00  1.834691097478782E+01  6.115636991595972E+00  6.115636991595972E+00  1.834691097478792E+01 -9.592326932761353E-14  2.999999999999984E+00  2.598285413795641E+03 -1.448667073630139E+02  2.453418706432627E+03  2.147743519648942E+21 -1.197468647207917E+20
