# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.582314056078889E+00 -1.189677069591380E+00  4.655614631757187E+00  7.302654427360362E+00  2.434218142455494E+00  2.434218142455494E+00  7.302654427366482E+00 -6.120437490153563E-12  2.999999999997486E+00  1.909730191236266E+03 -5.714283564906769E+02  1.338301834745589E+03  1.486048408485298E+21 -4.446545400094601E+20
  0.000000000000000E+00  1.582439286960624E+00 -1.189228612438296E+00  4.655699304723265E+00  7.795387710381624E+00  2.598462570127842E+00  2.598462570127842E+00  7.795387710383527E+00 -1.902478174997668E-12  2.999999999999268E+00  1.940356253667391E+03 -5.547046893835231E+02  1.385651564283868E+03  1.510477275086871E+21 -4.318118521350449E+20
  0.000000000000000E+00  1.582564517842359E+00 -1.188780155285213E+00  4.655784043206986E+00  8.271808129340757E+00  2.757269376446914E+00  2.757269376446914E+00  8.271808129340743E+00  1.421085471520200E-14  3.000000000000005E+00  1.967351237915899E+03 -5.342108132959124E+02  1.433140424619986E+03  1.532146809034761E+21 -4.160362304243436E+20
  0.000000000000000E+00  1.582689901674890E+00 -1.188331150408757E+00  4.655868950898840E+00  8.730357359106172E+00  2.910119119703020E+00  2.910119119703020E+00  8.730357359109062E+00 -2.890132577704208E-12  2.999999999999007E+00  1.992574929987500E+03 -5.133325212130661E+02  1.479242408774434E+03  1.552503476499461E+21 -3.999601278675717E+20
  0.000000000000000E+00  1.582815285507417E+00 -1.187882145532300E+00  4.655953924418751E+00  9.170765500554333E+00  3.056921833521201E+00  3.056921833521201E+00  9.170765500563606E+00 -9.272582701669307E-12  2.999999999996967E+00  2.017553323766457E+03 -4.928503117631842E+02  1.524703012003273E+03  1.572733468740176E+21 -3.841891915609733E+20
  0.000000000000000E+00  1.582940669339943E+00 -1.187433140655842E+00  4.656038963842079E+00  9.593382196670804E+00  3.197794065562154E+00  3.197794065562154E+00  9.593382196686465E+00 -1.566036189615261E-11  2.999999999995103E+00  2.042388912191884E+03 -4.727642798620094E+02  1.569624632329875E+03  1.592917112237349E+21 -3.687222873916629E+20
  0.000000000000000E+00  1.583066053172475E+00 -1.186984135779387E+00  4.656124069244296E+00  9.998557090441162E+00  3.332852363486575E+00  3.332852363486575E+00  9.998557090459727E+00 -1.856470532857202E-11  2.999999999994430E+00  2.067183414984300E+03 -4.530745204250892E+02  1.614108894559211E+03  1.613134219832251E+21 -3.535583769364502E+20
  0.000000000000000E+00  1.583191369509080E+00 -1.186535372600155E+00  4.656209194833762E+00  1.038669868564973E+01  3.462232895221812E+00  3.462232895221812E+00  1.038669868566544E+01 -1.571365260133462E-11  2.999999999995461E+00  2.092148460540237E+03 -4.345076870030538E+02  1.657640773537183E+03  1.633550385069734E+21 -3.392637820914081E+20
  0.000000000000000E+00  1.583316685843013E+00 -1.186086609420176E+00  4.656294386479859E+00  1.075904247559688E+01  3.586347491868772E+00  3.586347491868772E+00  1.075904247560632E+01 -9.436007530894130E-12  2.999999999997369E+00  2.117411940690810E+03 -4.170236903448695E+02  1.700388250345941E+03  1.654268246491216E+21 -3.258076691241439E+20
  0.000000000000000E+00  1.583442002176946E+00 -1.185637846240198E+00  4.656379644260584E+00  1.111653816970014E+01  3.705512723234429E+00  3.705512723234428E+00  1.111653816970329E+01 -3.151257033096044E-12  2.999999999999150E+00  2.142909656263102E+03 -4.006227882637453E+02  1.742286867999356E+03  1.675240310681579E+21 -3.131907321970069E+20
