# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.582063594315420E+00 -1.190573983897548E+00  4.655445482079107E+00  7.034477495159049E+00  2.344825831719744E+00  2.344825831719744E+00  7.034477495159233E+00 -1.856292897173262E-13  2.999999999999921E+00  1.307757685833933E+03 -5.973208196543815E+02  7.104368661795514E+02  1.047645668172896E+21 -4.785141590059534E+20
  0.000000000000000E+00  1.582188825197155E+00 -1.190125526744464E+00  4.655530024234012E+00  7.550815666160199E+00  2.516938555386780E+00  2.516938555386780E+00  7.550815666160342E+00 -1.429967255717202E-13  2.999999999999943E+00  1.355820024842870E+03 -5.827416121716548E+02  7.730784126712158E+02  1.086537147286942E+21 -4.670018124033556E+20
  0.000000000000000E+00  1.582314056078889E+00 -1.189677069591380E+00  4.655614631757187E+00  8.053073282658161E+00  2.684357760886070E+00  2.684357760886070E+00  8.053073282658213E+00 -5.151434834260726E-14  2.999999999999981E+00  1.402996170500260E+03 -5.652178431503414E+02  8.377783273499189E+02  1.124748187224067E+21 -4.531215108330373E+20
  0.000000000000000E+00  1.582439286960624E+00 -1.189228612438296E+00  4.655699304723265E+00  8.538676951973272E+00  2.846225650657744E+00  2.846225650657744E+00  8.538676951973233E+00  3.907985046680551E-14  3.000000000000014E+00  1.449348765199734E+03 -5.447488140059129E+02  9.045999511938215E+02  1.162331072855502E+21 -4.368710200218763E+20
  0.000000000000000E+00  1.582564517842359E+00 -1.188780155285213E+00  4.655784043206986E+00  9.005053281425871E+00  3.001684427141929E+00  3.001684427141929E+00  9.005053281425788E+00  8.171241461241152E-14  3.000000000000027E+00  1.494940000787191E+03 -5.213338261536737E+02  9.736061746335178E+02  1.199338114659027E+21 -4.182479081688113E+20
  0.000000000000000E+00  1.582689901674890E+00 -1.188331150408757E+00  4.655868950898840E+00  9.451314115915057E+00  3.150438038638510E+00  3.150438038638510E+00  9.451314115915531E+00 -4.742872761198669E-13  2.999999999999849E+00  1.539928099694397E+03 -4.982347986268313E+02  1.041693301067566E+03  1.235899365763985E+21 -3.998680664030020E+20
  0.000000000000000E+00  1.582815285507417E+00 -1.187882145532300E+00  4.655953924418751E+00  9.877742989325288E+00  3.292580996442326E+00  3.292580996442326E+00  9.877742989326979E+00 -1.691091711109038E-12  2.999999999999487E+00  1.584306971878573E+03 -4.761083143703110E+02  1.108198657508263E+03  1.272012040564799E+21 -3.822589430215942E+20
  0.000000000000000E+00  1.582940669339943E+00 -1.187433140655842E+00  4.656038963842079E+00  1.028519450135633E+01  3.428398167119746E+00  3.428398167119746E+00  1.028519450135924E+01 -2.911448859777011E-12  2.999999999999151E+00  1.628057851254852E+03 -4.549546053776452E+02  1.173103245877207E+03  1.307664064757034E+21 -3.654217742259672E+20
  0.000000000000000E+00  1.583066053172475E+00 -1.186984135779387E+00  4.656124069244296E+00  1.067452325170794E+01  3.558174417237136E+00  3.558174417237136E+00  1.067452325171141E+01 -3.463895836830488E-12  2.999999999999027E+00  1.671162129772241E+03 -4.347739036421760E+02  1.236388226130065E+03  1.342843696922526E+21 -3.493577228032730E+20
  0.000000000000000E+00  1.583191369509080E+00 -1.186535372600155E+00  4.656209194833762E+00  1.104660690775757E+01  3.682202302586827E+00  3.682202302586827E+00  1.104660690776048E+01 -2.913225216616411E-12  2.999999999999209E+00  1.713576134929084E+03 -4.161401020440574E+02  1.297436032885027E+03  1.377518919635214E+21 -3.345289725386734E+20
